STRIKE,TIME,MARKET,BID,ASK,DELTA,VOLUME,STRIKE_1,TIME_1,MARKET_1,BID_1,ASK_1,DELTA_1,VOLUME_1
6900,09:55,820,820,835,-15,11,6900,13:43,9.1,8.6,9.1,-2.9,1674
7000,11:27,740,690,740,5,9,7000,13:44,12,12,12.5,-5,959
7100,11:30,630,630,645,-10,22,7100,13:44,18,17,18,-8.5,2125
7200,13:36,550,540,550,5,48,7200,13:44,25,26,27,-12,5237
7300,13:37,470,445,470,13,72,7300,13:44,38.5,38.5,39.5,-11.5,6776
7400,13:40,397,372,397,17,105,7400,13:44,55,55,56,-14,6650
7500,13:44,307,304,307,3,158,7500,13:44,78,78,79,-21,7271
7600,13:44,235,231,235,-2,335,7600,13:44,109,109,110,-22,4500
7700,13:44,173,173,174,-3,1816,7700,13:44,148,148,149,-22,4786
7800,13:44,120,120,121,-9,6088,7800,13:44,194,195,196,-21,1043
7900,13:44,79,80,81,-8,10637,7900,13:44,258,250,258,-32,173
8000,13:44,48.5,48.5,49,-6.5,13697,8000,13:28,323,323,332,-33,175
8200,13:44,15.5,15.5,16.5,-3,8519,8200,11:58,493,493,505,-17,10
8400,13:41,4.1,4.1,4.2,-0.6,1032,8400,,,,,,
8600,12:08,1,1,2,-0.7,64,8600,08:47,855,825,855,-15,7
8800,13:29,0.6,0.6,0.9,0.1,27,8800,,,,,,
